"","lat","lon","Operator","Class"
"180",12.9272852,77.6615285,"Jio","good"
"181",12.9248309,77.4979008,"Jio","good"
"182",12.9851021,77.7662962,"Jio","good"
"183",12.9273569,77.6609217,"Jio","good"
"184",12.8791186,77.6469767,"Jio","satisfactory"
"185",12.8641272,77.6620175,"Jio","poor"
"186",13.0361153,77.5763711,"Jio","good"
"187",13.0359643,77.5766733,"Jio","good"
"188",12.924109,77.6094169,"Jio","good"
"189",13.0359375,77.5766504,"Jio","good"
"190",13.0360165,77.5765176,"Jio","good"
"191",13.0073473,77.6020905,"Jio","good"
"192",12.9128062,77.6111771,"Jio","good"
"193",12.8905241,77.6562969,"Jio","good"
"194",12.9914026,77.5708862,"Jio","good"
"195",13.0073452,77.6020458,"Jio","good"
"196",13.0358962,77.5764134,"Jio","good"
"197",13.0359317,77.5766845,"Jio","good"
"198",13.0070721,77.6023367,"Jio","good"
"199",12.9599821,77.6428177,"Jio","satisfactory"
"200",13.007028,77.6023367,"Jio","good"
"201",13.0073759,77.6022248,"Jio","good"
"202",13.0359506,77.5766173,"Jio","good"
"203",13.0073664,77.6022584,"Jio","good"
"204",13.1034752,77.5843331,"Jio","good"
"205",13.0079879,77.5056663,"Jio","satisfactory"
"206",12.9585125,77.6439364,"Jio","good"
"207",12.9275969,77.6614198,"Jio","good"
"208",13.0360165,77.5765176,"Jio","good"
"209",13.00638,77.6012624,"Jio","good"
"210",12.9580055,77.7087594,"Jio","good"
"211",13.0361681,77.5765502,"Jio","good"
"212",13.007252,77.6024039,"Jio","good"
"213",13.1036093,77.5842286,"Jio","poor"
"214",12.9562189,77.7105494,"Jio","good"
"215",12.9125907,77.6107348,"Jio","good"
"216",12.9841356,77.5415344,"Jio","good"
"217",12.8799216,77.6532065,"Jio","good"
"218",13.0072962,77.6024039,"Jio","good"
"219",12.9599445,77.6431869,"Jio","good"
"220",12.9843794,77.5415768,"Jio","good"
"221",12.9812607,77.7275962,"Jio","satisfactory"
"222",13.0072084,77.6022911,"Jio","good"
"223",12.9896205,77.4488631,"Jio","satisfactory"
"224",12.8991177,77.5872997,"Jio","good"
"225",12.8969427,77.6340358,"Jio","good"
"226",12.9650237,77.402395,"Jio","good"
"227",13.0365151,77.5765526,"Jio","good"
"228",12.9701563,77.6393474,"Jio","good"
"229",13.0359285,77.5766173,"Jio","good"
"230",12.8453843,77.6621857,"Jio","good"
"231",12.89917694,77.58731538,"Jio","good"
"232",13.0365519,77.5764449,"Jio","good"
"233",13.0359516,77.5766397,"Jio","good"
"234",12.9801445,77.5535119,"Jio","good"
"235",13.0358991,77.5766957,"Jio","good"
"236",12.9923308,77.5820058,"Jio","good"
"237",12.9841732,77.54142,"Jio","good"
"238",13.058538,77.6525886,"Jio","good"
"239",12.9801521,77.5536687,"Jio","good"
"240",13.0488933,77.5556849,"Jio","poor"
"241",12.911675,77.5568754,"Jio","good"
"242",13.0324452,77.5771994,"Jio","good"
"243",13.0357138,77.5765166,"Jio","good"
"244",12.9584605,77.6458493,"Jio","good"
"245",12.8641272,77.6620175,"Jio","satisfactory"
"246",13.007028,77.6023367,"Jio","good"
"247",13.0365519,77.5764449,"Jio","good"
"248",12.8622863,77.6606947,"Jio","good"
"249",12.98128737,77.69381366,"Jio","satisfactory"
"250",13.0070616,77.6023479,"Jio","good"
"251",12.9271637,77.6609923,"Jio","good"
"252",13.1037051,77.584175,"Jio","satisfactory"
"253",13.0280596,77.5733962,"Jio","good"
"254",13.007028,77.6023367,"Jio","good"
"255",13.0359675,77.5668976,"Jio","good"
"256",13.0488092,77.5555383,"Jio","poor"
"257",13.0359592,77.5767964,"Jio","good"
"258",12.9125992,77.6107104,"Jio","good"
"259",13.0074001,77.6022696,"Jio","good"
"260",12.9936388,77.7022766,"Jio","good"
"261",12.9921509,77.582046,"Jio","good"
"262",13.1036184,77.584224,"Jio","good"
"263",13.0072962,77.6024039,"Jio","good"
"264",12.9271238,77.660979,"Jio","good"
"265",13.036139,77.5767541,"Jio","good"
"266",13.1036093,77.5842286,"Jio","satisfactory"
"267",13.0072979,77.602194,"Jio","good"
"268",12.9132142,77.6131795,"Jio","good"
"269",12.9619913,77.4832824,"Jio","poor"
"270",12.8637715,77.6627137,"Jio","good"
"271",12.922216,77.6680682,"Jio","good"
"272",13.0046569,77.5493744,"Jio","poor"
"273",13.0668379,77.5933506,"Jio","good"
"274",13.0072741,77.6024039,"Jio","good"
"275",13.0363885,77.5764748,"Jio","good"
"276",13.0070501,77.6023367,"Jio","good"
"277",12.7912084,77.6230042,"Jio","good"
"278",13.007028,77.6023367,"Jio","good"
"279",12.91657816,77.60914029,"Jio","satisfactory"
"280",12.9271689,77.661006,"Jio","good"
"281",12.9281143,77.6604691,"Jio","poor"
"282",13.0072983,77.6024486,"Jio","good"
"283",12.9662228,77.568431,"Jio","good"
"284",13.032354,77.5086362,"Jio","good"
"285",13.0360882,77.5766589,"Jio","good"
"286",12.8641272,77.6620175,"Jio","satisfactory"
"287",13.0358865,77.5766621,"Jio","good"
"288",13.00334779,77.58481513,"Jio","good"
"289",13.0070501,77.6023367,"Jio","good"
"290",12.8878583,77.6571749,"Jio","good"
"291",13.0362145,77.576595,"Jio","good"
"292",13.0361692,77.5765726,"Jio","good"
"293",12.9739551,77.6113242,"Jio","satisfactory"
"294",13.1034523,77.5851974,"Jio","good"
"295",12.9556776,77.580468,"Jio","good"
"296",12.9799496,77.7090648,"Jio","good"
"297",12.9915757,77.7289563,"Jio","good"
"298",12.9932061,77.7169463,"Jio","satisfactory"
"299",13.0070501,77.6023367,"Jio","good"
"300",12.9745397,77.6107785,"Jio","good"
"301",12.9458386,77.664891,"Idea","good"
"302",12.8946846,77.6598475,"Idea","good"
"303",12.9235924,77.6741434,"Idea","good"
"304",12.8807424,77.6544961,"Idea","good"
"305",12.9543322,77.6524406,"Idea","good"
"306",12.9435958,77.5771396,"Idea","good"
"307",12.9890825,77.7334029,"Idea","good"
"308",12.8873433,77.6570475,"Idea","good"
"309",12.9016154,77.6756648,"Idea","good"
"310",12.9952921,77.6968446,"Idea","good"
"311",12.9720827,77.5374644,"Idea","good"
"312",12.8813395,77.6543168,"Idea","good"
"313",12.9658099,77.5864453,"Idea","good"
